Station_Count,State,Registration_Count
18,Alabama,900
133,Alaska,370
81,Arizona,9820
454,Arkansas,270
5524,California,179600
789,Colorado,7750
345,Connecticut,2710
135,Delaware,400
53,District Of Columbia,660
1287,Florida,16600
804,Georgia,13530
279,Hawaii,5360
130,Idaho,710
75,Illinois,7950
506,Indiana,1740
217,Iowa,610
205,Kansas,970
124,Kentucky,730
92,Louisiana,770
657,Maine,470
627,Maryland,4590
173,Massachusetts,5520
411,Michigan,2730
347,Minnesota,2730
422,Mississippi,260
65,Missouri,2110
52,Montana,330
640,Nebraska,520
26,Nevada,3030
84,New Hampshire,650
115,New Jersey,6610
336,New Mexico,780
83,New York,10940
263,North Carolina,4540
1450,North Dakota,140
481,Ohio,3790
81,Oklahoma,1380
635,Oregon,9550
493,Pennsylvania,4390
93,Rhode Island,380
247,South Carolina,1220
41,South Dakota,180
380,Tennessee,2970
1220,Texas,14390
256,Utah,3410
625,Vermont,750
230,Virginia,4290
943,Washington,19900
305,West Virginia,140
85,Wisconsin,2700
56,Wyoming,100
